run_id,experiment,subject_id,preview_name,namespace,isolation_enabled,phase,step,step_duration_s,total_reconcile_s,requeue_count,timestamp_utc
performance-s1-flask-catalog-isoTrue-000-919f0b,performance,s1-flask-catalog,perf-74583487,preview-pr-9330,True,test_suite,postgres-migrate,21.0,106.0,,2026-05-16T14:54:54.490465+00:00
performance-s1-flask-catalog-isoTrue-000-919f0b,performance,s1-flask-catalog,perf-74583487,preview-pr-9330,True,test_suite,saving,5.0,106.0,,2026-05-16T14:54:54.490501+00:00
performance-s1-flask-catalog-isoTrue-000-919f0b,performance,s1-flask-catalog,perf-74583487,preview-pr-9330,True,test_suite,smoke,7.0,106.0,,2026-05-16T14:54:54.490505+00:00
performance-s1-flask-catalog-isoTrue-000-919f0b,performance,s1-flask-catalog,perf-74583487,preview-pr-9330,True,test_suite,restore-regression,10.0,106.0,,2026-05-16T14:54:54.490508+00:00
performance-s1-flask-catalog-isoTrue-000-919f0b,performance,s1-flask-catalog,perf-74583487,preview-pr-9330,True,test_suite,regression,6.0,106.0,,2026-05-16T14:54:54.490510+00:00
performance-s1-flask-catalog-isoTrue-000-919f0b,performance,s1-flask-catalog,perf-74583487,preview-pr-9330,True,test_suite,restore-e2e,5.0,106.0,,2026-05-16T14:54:54.490512+00:00
performance-s1-flask-catalog-isoTrue-000-919f0b,performance,s1-flask-catalog,perf-74583487,preview-pr-9330,True,test_suite,e2e,24.0,106.0,,2026-05-16T14:54:54.490515+00:00
performance-s1-flask-catalog-isoTrue-000-919f0b,performance,s1-flask-catalog,perf-74583487,preview-pr-9330,True,test_suite,checkpoint_total,20.0,106.0,18.87,2026-05-16T14:54:54.490517+00:00
performance-s1-flask-catalog-isoTrue-001-3198bf,performance,s1-flask-catalog,perf-96285f8f,preview-pr-9824,True,test_suite,postgres-migrate,29.0,125.0,,2026-05-16T14:57:10.194977+00:00
performance-s1-flask-catalog-isoTrue-001-3198bf,performance,s1-flask-catalog,perf-96285f8f,preview-pr-9824,True,test_suite,saving,5.0,125.0,,2026-05-16T14:57:10.195070+00:00
performance-s1-flask-catalog-isoTrue-001-3198bf,performance,s1-flask-catalog,perf-96285f8f,preview-pr-9824,True,test_suite,smoke,9.0,125.0,,2026-05-16T14:57:10.195084+00:00
performance-s1-flask-catalog-isoTrue-001-3198bf,performance,s1-flask-catalog,perf-96285f8f,preview-pr-9824,True,test_suite,restore-regression,5.0,125.0,,2026-05-16T14:57:10.195090+00:00
performance-s1-flask-catalog-isoTrue-001-3198bf,performance,s1-flask-catalog,perf-96285f8f,preview-pr-9824,True,test_suite,regression,7.0,125.0,,2026-05-16T14:57:10.195094+00:00
performance-s1-flask-catalog-isoTrue-001-3198bf,performance,s1-flask-catalog,perf-96285f8f,preview-pr-9824,True,test_suite,restore-e2e,5.0,125.0,,2026-05-16T14:57:10.195096+00:00
performance-s1-flask-catalog-isoTrue-001-3198bf,performance,s1-flask-catalog,perf-96285f8f,preview-pr-9824,True,test_suite,e2e,36.0,125.0,,2026-05-16T14:57:10.195099+00:00
performance-s1-flask-catalog-isoTrue-001-3198bf,performance,s1-flask-catalog,perf-96285f8f,preview-pr-9824,True,test_suite,checkpoint_total,15.0,125.0,12.0,2026-05-16T14:57:10.195101+00:00
performance-s1-flask-catalog-isoTrue-002-e91e3d,performance,s1-flask-catalog,perf-aaed4dfe,preview-pr-9021,True,test_suite,postgres-migrate,23.0,191.0,,2026-05-16T15:00:35.451653+00:00
performance-s1-flask-catalog-isoTrue-002-e91e3d,performance,s1-flask-catalog,perf-aaed4dfe,preview-pr-9021,True,test_suite,saving,5.0,191.0,,2026-05-16T15:00:35.451673+00:00
performance-s1-flask-catalog-isoTrue-002-e91e3d,performance,s1-flask-catalog,perf-aaed4dfe,preview-pr-9021,True,test_suite,smoke,6.0,191.0,,2026-05-16T15:00:35.451677+00:00
performance-s1-flask-catalog-isoTrue-002-e91e3d,performance,s1-flask-catalog,perf-aaed4dfe,preview-pr-9021,True,test_suite,restore-regression,6.0,191.0,,2026-05-16T15:00:35.451679+00:00
performance-s1-flask-catalog-isoTrue-002-e91e3d,performance,s1-flask-catalog,perf-aaed4dfe,preview-pr-9021,True,test_suite,regression,8.0,191.0,,2026-05-16T15:00:35.459254+00:00
performance-s1-flask-catalog-isoTrue-002-e91e3d,performance,s1-flask-catalog,perf-aaed4dfe,preview-pr-9021,True,test_suite,restore-e2e,6.0,191.0,,2026-05-16T15:00:35.459273+00:00
performance-s1-flask-catalog-isoTrue-002-e91e3d,performance,s1-flask-catalog,perf-aaed4dfe,preview-pr-9021,True,test_suite,e2e,106.0,191.0,,2026-05-16T15:00:35.459277+00:00
performance-s1-flask-catalog-isoTrue-002-e91e3d,performance,s1-flask-catalog,perf-aaed4dfe,preview-pr-9021,True,test_suite,checkpoint_total,17.0,191.0,8.9,2026-05-16T15:00:35.459281+00:00
performance-s1-flask-catalog-isoTrue-003-837f30,performance,s1-flask-catalog,perf-f2ae1b49,preview-pr-9250,True,test_suite,postgres-migrate,22.0,141.0,,2026-05-16T15:03:07.891136+00:00
performance-s1-flask-catalog-isoTrue-003-837f30,performance,s1-flask-catalog,perf-f2ae1b49,preview-pr-9250,True,test_suite,saving,4.0,141.0,,2026-05-16T15:03:07.891155+00:00
performance-s1-flask-catalog-isoTrue-003-837f30,performance,s1-flask-catalog,perf-f2ae1b49,preview-pr-9250,True,test_suite,smoke,6.0,141.0,,2026-05-16T15:03:07.891158+00:00
performance-s1-flask-catalog-isoTrue-003-837f30,performance,s1-flask-catalog,perf-f2ae1b49,preview-pr-9250,True,test_suite,restore-regression,5.0,141.0,,2026-05-16T15:03:07.891161+00:00
performance-s1-flask-catalog-isoTrue-003-837f30,performance,s1-flask-catalog,perf-f2ae1b49,preview-pr-9250,True,test_suite,regression,6.0,141.0,,2026-05-16T15:03:07.891163+00:00
performance-s1-flask-catalog-isoTrue-003-837f30,performance,s1-flask-catalog,perf-f2ae1b49,preview-pr-9250,True,test_suite,restore-e2e,6.0,141.0,,2026-05-16T15:03:07.891165+00:00
performance-s1-flask-catalog-isoTrue-003-837f30,performance,s1-flask-catalog,perf-f2ae1b49,preview-pr-9250,True,test_suite,e2e,62.0,141.0,,2026-05-16T15:03:07.891167+00:00
performance-s1-flask-catalog-isoTrue-003-837f30,performance,s1-flask-catalog,perf-f2ae1b49,preview-pr-9250,True,test_suite,checkpoint_total,15.0,141.0,10.64,2026-05-16T15:03:07.891716+00:00
performance-s1-flask-catalog-isoTrue-004-ceb910,performance,s1-flask-catalog,perf-95a45f62,preview-pr-9822,True,test_suite,postgres-migrate,34.0,134.0,,2026-05-16T15:05:33.941564+00:00
performance-s1-flask-catalog-isoTrue-004-ceb910,performance,s1-flask-catalog,perf-95a45f62,preview-pr-9822,True,test_suite,saving,10.0,134.0,,2026-05-16T15:05:33.941581+00:00
performance-s1-flask-catalog-isoTrue-004-ceb910,performance,s1-flask-catalog,perf-95a45f62,preview-pr-9822,True,test_suite,smoke,12.0,134.0,,2026-05-16T15:05:33.942389+00:00
performance-s1-flask-catalog-isoTrue-004-ceb910,performance,s1-flask-catalog,perf-95a45f62,preview-pr-9822,True,test_suite,restore-regression,5.0,134.0,,2026-05-16T15:05:33.942403+00:00
