run_id,experiment,subject_id,preview_name,namespace,isolation_enabled,phase,step,step_duration_s,total_reconcile_s,requeue_count,timestamp_utc
idempotence-s2-listmonk-stepsaving-00-fc9af3,idempotence,s2-listmonk,idem-9a7c58d8,preview-pr-6602,true,Succeeded,saving,41.54305538699555,12.21101161900151,0,2026-05-17T06:08:21.780695+00:00
idempotence-s2-listmonk-stepsaving-01-59eade,idempotence,s2-listmonk,idem-2d1debb5,preview-pr-6336,true,Succeeded,saving,41.723095555003965,11.832639608001045,0,2026-05-17T06:10:27.013220+00:00
idempotence-s2-listmonk-stepsaving-02-68bc40,idempotence,s2-listmonk,idem-98948e21,preview-pr-6392,true,Succeeded,saving,40.743777787,12.25099586899887,0,2026-05-17T06:12:31.549067+00:00
idempotence-s2-listmonk-stepsmoke-00-d6c16a,idempotence,s2-listmonk,idem-e383a4a5,preview-pr-6033,true,Succeeded,smoke,35.64566968099825,11.910825347003993,0,2026-05-17T06:14:35.815899+00:00
idempotence-s2-listmonk-stepsmoke-01-61a322,idempotence,s2-listmonk,idem-02784fa4,preview-pr-6354,true,Succeeded,smoke,34.97222443099599,12.193886723995092,0,2026-05-17T06:16:33.615633+00:00
idempotence-s2-listmonk-stepsmoke-02-077e6d,idempotence,s2-listmonk,idem-edf335e3,preview-pr-6317,true,Succeeded,smoke,35.19247870000254,11.68955848000769,0,2026-05-17T06:18:31.259011+00:00
idempotence-s2-listmonk-steprestore-regression-00-e8a6bb,idempotence,s2-listmonk,idem-f02c8be4,preview-pr-6523,true,Succeeded,restore-regression,41.380139164000866,11.8582867889927,0,2026-05-17T06:20:28.282534+00:00
idempotence-s2-listmonk-steprestore-regression-01-bf3d25,idempotence,s2-listmonk,idem-9d9ac2bf,preview-pr-6522,true,Succeeded,restore-regression,35.62685335999413,12.407116217000294,0,2026-05-17T06:22:31.467973+00:00
idempotence-s2-listmonk-steprestore-regression-02-21f564,idempotence,s2-listmonk,idem-9ef4fc0a,preview-pr-6816,true,Succeeded,restore-regression,29.758204124998883,12.080289061996154,0,2026-05-17T06:24:29.851128+00:00
idempotence-s2-listmonk-stepregression-00-505fd6,idempotence,s2-listmonk,idem-27b4648b,preview-pr-6729,true,Succeeded,regression,35.631793024993385,11.80878972299979,0,2026-05-17T06:26:22.331308+00:00
idempotence-s2-listmonk-stepregression-01-730490,idempotence,s2-listmonk,idem-c919eec5,preview-pr-6547,true,Succeeded,regression,41.608509055993636,11.98317406399292,0,2026-05-17T06:28:18.074665+00:00
idempotence-s2-listmonk-stepregression-02-e828f5,idempotence,s2-listmonk,idem-941a96bf,preview-pr-6001,true,Succeeded,regression,35.66188824099663,12.376610374005395,0,2026-05-17T06:30:25.608800+00:00
idempotence-s2-listmonk-steprestore-e2e-00-8e96ab,idempotence,s2-listmonk,idem-71e7e570,preview-pr-6862,true,Succeeded,restore-e2e,35.63889620100963,12.382597433010233,0,2026-05-17T06:32:25.710385+00:00
idempotence-s2-listmonk-steprestore-e2e-01-6c808b,idempotence,s2-listmonk,idem-e7926e51,preview-pr-6228,true,Succeeded,restore-e2e,41.065291111997794,12.206654652007273,0,2026-05-17T06:34:25.975402+00:00
idempotence-s2-listmonk-steprestore-e2e-02-f46909,idempotence,s2-listmonk,idem-a657b25b,preview-pr-6411,true,Succeeded,restore-e2e,35.98588750099589,12.21506018799846,0,2026-05-17T06:36:31.635752+00:00
idempotence-s2-listmonk-stepe2e-00-29692d,idempotence,s2-listmonk,idem-e9447150,preview-pr-6599,true,Succeeded,e2e,35.79412206700363,12.482423741996172,0,2026-05-17T06:38:32.400026+00:00
idempotence-s2-listmonk-stepe2e-01-48fa60,idempotence,s2-listmonk,idem-949361ff,preview-pr-6657,true,Succeeded,e2e,35.75863614400441,11.971048728999449,0,2026-05-17T06:40:33.039017+00:00
idempotence-s2-listmonk-stepe2e-02-1af693,idempotence,s2-listmonk,idem-4e5ca62c,preview-pr-6256,true,Succeeded,e2e,35.7080638819898,12.31175889998849,0,2026-05-17T06:42:33.598855+00:00
