run_id,experiment,subject_id,preview_name,namespace,isolation_enabled,phase,step,step_duration_s,total_reconcile_s,requeue_count,timestamp_utc
idempotence-s4-umami-stepsaving-00-d889df,idempotence,s4-umami,idem-9cd9a104,preview-pr-6360,true,Failed,saving,35.49221076100366,11.99637638599961,1,2026-05-17T08:38:00.101827+00:00
idempotence-s4-umami-stepsaving-01-fea885,idempotence,s4-umami,idem-67aa9b7e,preview-pr-6134,true,Failed,saving,36.08206098200753,12.429056829001638,1,2026-05-17T08:39:46.716803+00:00
idempotence-s4-umami-stepsaving-02-ee0bed,idempotence,s4-umami,idem-ec53403d,preview-pr-6417,true,Failed,saving,30.770019238989335,12.467794557000161,1,2026-05-17T08:41:33.926296+00:00
idempotence-s4-umami-stepsmoke-00-91c1fe,idempotence,s4-umami,idem-0bab0d55,preview-pr-6335,true,Failed,smoke,41.78565185099433,11.552298373004305,1,2026-05-17T08:43:17.050612+00:00
idempotence-s4-umami-stepsmoke-01-79afdb,idempotence,s4-umami,idem-e93997e9,preview-pr-6880,true,Failed,smoke,42.125150502004544,11.918800469997223,1,2026-05-17T08:45:07.746298+00:00
idempotence-s4-umami-stepsmoke-02-1becd9,idempotence,s4-umami,idem-d6afb5ce,preview-pr-6191,true,Failed,smoke,35.57470325699251,11.934625683003105,1,2026-05-17T08:47:02.555136+00:00
idempotence-s4-umami-steprestore-regression-00-b61685,idempotence,s4-umami,idem-2affbf06,preview-pr-6546,true,Failed,restore-regression,42.08387864900578,11.725764889008133,1,2026-05-17T08:48:44.449114+00:00
idempotence-s4-umami-steprestore-regression-01-d251fb,idempotence,s4-umami,idem-a76a384f,preview-pr-6684,true,Failed,restore-regression,41.48245642299298,12.429161322012078,1,2026-05-17T08:50:34.665960+00:00
idempotence-s4-umami-steprestore-regression-02-5ce26e,idempotence,s4-umami,idem-d7f50a5b,preview-pr-6827,true,Failed,restore-regression,41.88802274300542,12.115494393001427,1,2026-05-17T08:52:26.843782+00:00
idempotence-s4-umami-stepregression-00-e7ed4c,idempotence,s4-umami,idem-fb5237b0,preview-pr-6686,true,Failed,regression,41.49084373799269,12.319180943988613,1,2026-05-17T08:54:16.779071+00:00
idempotence-s4-umami-stepregression-01-838dd3,idempotence,s4-umami,idem-dcad39da,preview-pr-6523,true,Failed,regression,36.1544698550133,12.891880041992408,1,2026-05-17T08:56:10.306117+00:00
idempotence-s4-umami-stepregression-02-d7ffca,idempotence,s4-umami,idem-857d478a,preview-pr-6391,true,Failed,regression,36.08201892400393,11.718072709001717,1,2026-05-17T08:57:59.532786+00:00
idempotence-s4-umami-steprestore-e2e-00-dfb947,idempotence,s4-umami,idem-4420b480,preview-pr-6725,true,Failed,restore-e2e,35.8442484739935,12.482159988008789,1,2026-05-17T08:59:46.085053+00:00
idempotence-s4-umami-steprestore-e2e-01-1ddbe1,idempotence,s4-umami,idem-6dbb2c1e,preview-pr-6135,true,Failed,restore-e2e,35.92604357600794,13.47132315300405,1,2026-05-17T09:01:35.217730+00:00
idempotence-s4-umami-steprestore-e2e-02-02532e,idempotence,s4-umami,idem-67fe0c5d,preview-pr-6376,true,Failed,restore-e2e,35.74185698499787,12.430700217999402,1,2026-05-17T09:03:24.162878+00:00
idempotence-s4-umami-stepe2e-00-99e625,idempotence,s4-umami,idem-a52b4c9e,preview-pr-6307,true,Failed,e2e,42.13407487500808,12.03308373701293,1,2026-05-17T09:05:10.926449+00:00
idempotence-s4-umami-stepe2e-01-c8cde2,idempotence,s4-umami,idem-4f4e4571,preview-pr-6692,true,Failed,e2e,30.637562217001687,13.424726641009329,1,2026-05-17T09:07:03.079492+00:00
idempotence-s4-umami-stepe2e-02-66f026,idempotence,s4-umami,idem-db5d3084,preview-pr-6634,true,Failed,e2e,35.41500740000629,12.198236896001617,1,2026-05-17T09:08:47.687002+00:00
