run_id,experiment,subject_id,preview_name,namespace,isolation_enabled,phase,step,step_duration_s,total_reconcile_s,requeue_count,timestamp_utc
performance-s5-petclinic-isoTrue-000-328eca,performance,s5-petclinic,perf-c513bbb2,preview-pr-9047,True,test_suite,postgres-migrate,122.0,185.0,,2026-05-16T16:46:15.238793+00:00
performance-s5-petclinic-isoTrue-000-328eca,performance,s5-petclinic,perf-c513bbb2,preview-pr-9047,True,test_suite,saving,3.0,185.0,,2026-05-16T16:46:15.238836+00:00
performance-s5-petclinic-isoTrue-000-328eca,performance,s5-petclinic,perf-c513bbb2,preview-pr-9047,True,test_suite,smoke,,185.0,,2026-05-16T16:46:15.238840+00:00
performance-s5-petclinic-isoTrue-000-328eca,performance,s5-petclinic,perf-c513bbb2,preview-pr-9047,True,test_suite,restore-regression,4.0,185.0,,2026-05-16T16:46:15.238842+00:00
performance-s5-petclinic-isoTrue-000-328eca,performance,s5-petclinic,perf-c513bbb2,preview-pr-9047,True,test_suite,regression,,185.0,,2026-05-16T16:46:15.238844+00:00
performance-s5-petclinic-isoTrue-000-328eca,performance,s5-petclinic,perf-c513bbb2,preview-pr-9047,True,test_suite,restore-e2e,5.0,185.0,,2026-05-16T16:46:15.238846+00:00
performance-s5-petclinic-isoTrue-000-328eca,performance,s5-petclinic,perf-c513bbb2,preview-pr-9047,True,test_suite,e2e,,185.0,,2026-05-16T16:46:15.238848+00:00
performance-s5-petclinic-isoTrue-000-328eca,performance,s5-petclinic,perf-c513bbb2,preview-pr-9047,True,test_suite,checkpoint_total,12.0,185.0,6.49,2026-05-16T16:46:15.238850+00:00
performance-s5-petclinic-isoTrue-001-c34829,performance,s5-petclinic,perf-63304fca,preview-pr-9134,True,test_suite,postgres-migrate,87.0,154.0,,2026-05-16T16:49:20.606483+00:00
performance-s5-petclinic-isoTrue-001-c34829,performance,s5-petclinic,perf-63304fca,preview-pr-9134,True,test_suite,saving,5.0,154.0,,2026-05-16T16:49:20.606502+00:00
performance-s5-petclinic-isoTrue-001-c34829,performance,s5-petclinic,perf-63304fca,preview-pr-9134,True,test_suite,smoke,,154.0,,2026-05-16T16:49:20.606506+00:00
performance-s5-petclinic-isoTrue-001-c34829,performance,s5-petclinic,perf-63304fca,preview-pr-9134,True,test_suite,restore-regression,4.0,154.0,,2026-05-16T16:49:20.606508+00:00
performance-s5-petclinic-isoTrue-001-c34829,performance,s5-petclinic,perf-63304fca,preview-pr-9134,True,test_suite,regression,,154.0,,2026-05-16T16:49:20.606510+00:00
performance-s5-petclinic-isoTrue-001-c34829,performance,s5-petclinic,perf-63304fca,preview-pr-9134,True,test_suite,restore-e2e,5.0,154.0,,2026-05-16T16:49:20.606512+00:00
performance-s5-petclinic-isoTrue-001-c34829,performance,s5-petclinic,perf-63304fca,preview-pr-9134,True,test_suite,e2e,,154.0,,2026-05-16T16:49:20.606515+00:00
performance-s5-petclinic-isoTrue-001-c34829,performance,s5-petclinic,perf-63304fca,preview-pr-9134,True,test_suite,checkpoint_total,14.0,154.0,9.09,2026-05-16T16:49:20.606517+00:00
performance-s5-petclinic-isoTrue-002-860add,performance,s5-petclinic,perf-a99705ff,preview-pr-9103,True,test_suite,postgres-migrate,82.0,154.0,,2026-05-16T16:52:16.993716+00:00
performance-s5-petclinic-isoTrue-002-860add,performance,s5-petclinic,perf-a99705ff,preview-pr-9103,True,test_suite,saving,4.0,154.0,,2026-05-16T16:52:16.993735+00:00
performance-s5-petclinic-isoTrue-002-860add,performance,s5-petclinic,perf-a99705ff,preview-pr-9103,True,test_suite,smoke,,154.0,,2026-05-16T16:52:16.993738+00:00
performance-s5-petclinic-isoTrue-002-860add,performance,s5-petclinic,perf-a99705ff,preview-pr-9103,True,test_suite,restore-regression,6.0,154.0,,2026-05-16T16:52:16.993741+00:00
performance-s5-petclinic-isoTrue-002-860add,performance,s5-petclinic,perf-a99705ff,preview-pr-9103,True,test_suite,regression,,154.0,,2026-05-16T16:52:16.993768+00:00
performance-s5-petclinic-isoTrue-002-860add,performance,s5-petclinic,perf-a99705ff,preview-pr-9103,True,test_suite,restore-e2e,6.0,154.0,,2026-05-16T16:52:16.993772+00:00
performance-s5-petclinic-isoTrue-002-860add,performance,s5-petclinic,perf-a99705ff,preview-pr-9103,True,test_suite,e2e,,154.0,,2026-05-16T16:52:16.993774+00:00
performance-s5-petclinic-isoTrue-002-860add,performance,s5-petclinic,perf-a99705ff,preview-pr-9103,True,test_suite,checkpoint_total,16.0,154.0,10.39,2026-05-16T16:52:16.993777+00:00
performance-s5-petclinic-isoTrue-003-1e82b0,performance,s5-petclinic,perf-739725db,preview-pr-9527,True,test_suite,postgres-migrate,83.0,150.0,,2026-05-16T16:55:20.375079+00:00
performance-s5-petclinic-isoTrue-003-1e82b0,performance,s5-petclinic,perf-739725db,preview-pr-9527,True,test_suite,saving,5.0,150.0,,2026-05-16T16:55:20.375104+00:00
performance-s5-petclinic-isoTrue-003-1e82b0,performance,s5-petclinic,perf-739725db,preview-pr-9527,True,test_suite,smoke,,150.0,,2026-05-16T16:55:20.375110+00:00
performance-s5-petclinic-isoTrue-003-1e82b0,performance,s5-petclinic,perf-739725db,preview-pr-9527,True,test_suite,restore-regression,6.0,150.0,,2026-05-16T16:55:20.375114+00:00
performance-s5-petclinic-isoTrue-003-1e82b0,performance,s5-petclinic,perf-739725db,preview-pr-9527,True,test_suite,regression,,150.0,,2026-05-16T16:55:20.375119+00:00
