subject_id,batch_id,isolation_enabled,declared_K,observed_previews,missing_previews,completion_rate,incomplete_batch,suspected_infra_pressure,notes
s1-flask-catalog,1cbab0d3,False,8,8,0,100.00%,False,False,
s1-flask-catalog,4ffb5dac,True,8,8,0,100.00%,False,False,
s1-flask-catalog,71dae048,True,2,2,0,100.00%,False,False,
s1-flask-catalog,7fa77d43,False,2,2,0,100.00%,False,False,
s1-flask-catalog,820e0227,True,4,4,0,100.00%,False,False,
s1-flask-catalog,b0d9d36d,False,4,4,0,100.00%,False,False,
s2-listmonk,02e1a425,False,2,2,0,100.00%,False,False,
s2-listmonk,3f63fd72,True,4,4,0,100.00%,False,False,
s2-listmonk,5805e4fd,False,8,8,0,100.00%,False,False,
s2-listmonk,7a892971,True,2,2,0,100.00%,False,False,
s2-listmonk,def424f4,False,4,4,0,100.00%,False,False,
s2-listmonk,f3d603cf,True,8,8,0,100.00%,False,False,
s3-healthchecks,4adcf6b1,False,4,4,0,100.00%,False,False,
s3-healthchecks,6003921c,False,2,2,0,100.00%,False,False,
s3-healthchecks,8361a1d6,True,2,2,0,100.00%,False,False,
s3-healthchecks,968c42a1,False,8,8,0,100.00%,False,False,
s3-healthchecks,9fa610f3,True,4,4,0,100.00%,False,False,
s3-healthchecks,d1569c2e,True,8,8,0,100.00%,False,False,
s4-umami,00066469,False,8,8,0,100.00%,False,False,
s4-umami,39444d97,True,4,4,0,100.00%,False,False,
s4-umami,4522ef34,False,8,8,0,100.00%,False,False,
s4-umami,597b4a8f,False,2,2,0,100.00%,False,False,
s4-umami,5b3c4b37,True,2,2,0,100.00%,False,False,
s4-umami,6b6c6939,False,4,4,0,100.00%,False,False,
s4-umami,6d8e1aa0,False,2,2,0,100.00%,False,False,
s4-umami,741b778f,True,4,4,0,100.00%,False,False,
s4-umami,912be2a0,True,8,8,0,100.00%,False,False,
s4-umami,a8798284,True,8,8,0,100.00%,False,False,
s4-umami,a8819947,False,4,4,0,100.00%,False,False,
s4-umami,ce2af08a,True,2,2,0,100.00%,False,False,
s5-petclinic,26a79da5,False,4,4,0,100.00%,False,False,
s5-petclinic,313932c3,True,8,8,0,100.00%,False,False,
s5-petclinic,99c66db9,False,2,2,0,100.00%,False,False,
s5-petclinic,9d5d5ca2,True,2,2,0,100.00%,False,False,
s5-petclinic,aa41d125,False,8,8,0,100.00%,False,False,
s5-petclinic,ebdcce32,True,4,4,0,100.00%,False,False,
