run_id,experiment,subject_id,preview_name,namespace,isolation_enabled,phase,step,step_duration_s,total_reconcile_s,requeue_count,timestamp_utc
performance-s2-listmonk-isoTrue-000-418108,performance,s2-listmonk,perf-ad011008,preview-pr-9407,True,test_suite,postgres-migrate,45.0,100.0,,2026-05-16T15:43:50.329493+00:00
performance-s2-listmonk-isoTrue-000-418108,performance,s2-listmonk,perf-ad011008,preview-pr-9407,True,test_suite,saving,4.0,100.0,,2026-05-16T15:43:50.329526+00:00
performance-s2-listmonk-isoTrue-000-418108,performance,s2-listmonk,perf-ad011008,preview-pr-9407,True,test_suite,smoke,5.0,100.0,,2026-05-16T15:43:50.329529+00:00
performance-s2-listmonk-isoTrue-000-418108,performance,s2-listmonk,perf-ad011008,preview-pr-9407,True,test_suite,restore-regression,4.0,100.0,,2026-05-16T15:43:50.329531+00:00
performance-s2-listmonk-isoTrue-000-418108,performance,s2-listmonk,perf-ad011008,preview-pr-9407,True,test_suite,regression,,100.0,,2026-05-16T15:43:50.329534+00:00
performance-s2-listmonk-isoTrue-000-418108,performance,s2-listmonk,perf-ad011008,preview-pr-9407,True,test_suite,restore-e2e,6.0,100.0,,2026-05-16T15:43:50.329536+00:00
performance-s2-listmonk-isoTrue-000-418108,performance,s2-listmonk,perf-ad011008,preview-pr-9407,True,test_suite,e2e,,100.0,,2026-05-16T15:43:50.329538+00:00
performance-s2-listmonk-isoTrue-000-418108,performance,s2-listmonk,perf-ad011008,preview-pr-9407,True,test_suite,checkpoint_total,14.0,100.0,14.0,2026-05-16T15:43:50.329541+00:00
performance-s2-listmonk-isoTrue-001-9165cf,performance,s2-listmonk,perf-f14679db,preview-pr-9408,True,test_suite,postgres-migrate,42.0,89.0,,2026-05-16T15:45:49.145045+00:00
performance-s2-listmonk-isoTrue-001-9165cf,performance,s2-listmonk,perf-f14679db,preview-pr-9408,True,test_suite,saving,5.0,89.0,,2026-05-16T15:45:49.145066+00:00
performance-s2-listmonk-isoTrue-001-9165cf,performance,s2-listmonk,perf-f14679db,preview-pr-9408,True,test_suite,smoke,4.0,89.0,,2026-05-16T15:45:49.145071+00:00
performance-s2-listmonk-isoTrue-001-9165cf,performance,s2-listmonk,perf-f14679db,preview-pr-9408,True,test_suite,restore-regression,6.0,89.0,,2026-05-16T15:45:49.145074+00:00
performance-s2-listmonk-isoTrue-001-9165cf,performance,s2-listmonk,perf-f14679db,preview-pr-9408,True,test_suite,regression,,89.0,,2026-05-16T15:45:49.145076+00:00
performance-s2-listmonk-isoTrue-001-9165cf,performance,s2-listmonk,perf-f14679db,preview-pr-9408,True,test_suite,restore-e2e,5.0,89.0,,2026-05-16T15:45:49.145078+00:00
performance-s2-listmonk-isoTrue-001-9165cf,performance,s2-listmonk,perf-f14679db,preview-pr-9408,True,test_suite,e2e,,89.0,,2026-05-16T15:45:49.145080+00:00
performance-s2-listmonk-isoTrue-001-9165cf,performance,s2-listmonk,perf-f14679db,preview-pr-9408,True,test_suite,checkpoint_total,16.0,89.0,17.98,2026-05-16T15:45:49.145082+00:00
performance-s2-listmonk-isoTrue-002-b5eb93,performance,s2-listmonk,perf-4eb42282,preview-pr-9011,True,test_suite,postgres-migrate,42.0,88.0,,2026-05-16T15:47:46.628344+00:00
performance-s2-listmonk-isoTrue-002-b5eb93,performance,s2-listmonk,perf-4eb42282,preview-pr-9011,True,test_suite,saving,4.0,88.0,,2026-05-16T15:47:46.628363+00:00
performance-s2-listmonk-isoTrue-002-b5eb93,performance,s2-listmonk,perf-4eb42282,preview-pr-9011,True,test_suite,smoke,5.0,88.0,,2026-05-16T15:47:46.628794+00:00
performance-s2-listmonk-isoTrue-002-b5eb93,performance,s2-listmonk,perf-4eb42282,preview-pr-9011,True,test_suite,restore-regression,5.0,88.0,,2026-05-16T15:47:46.628801+00:00
performance-s2-listmonk-isoTrue-002-b5eb93,performance,s2-listmonk,perf-4eb42282,preview-pr-9011,True,test_suite,regression,,88.0,,2026-05-16T15:47:46.628830+00:00
performance-s2-listmonk-isoTrue-002-b5eb93,performance,s2-listmonk,perf-4eb42282,preview-pr-9011,True,test_suite,restore-e2e,6.0,88.0,,2026-05-16T15:47:46.629473+00:00
performance-s2-listmonk-isoTrue-002-b5eb93,performance,s2-listmonk,perf-4eb42282,preview-pr-9011,True,test_suite,e2e,,88.0,,2026-05-16T15:47:46.629481+00:00
performance-s2-listmonk-isoTrue-002-b5eb93,performance,s2-listmonk,perf-4eb42282,preview-pr-9011,True,test_suite,checkpoint_total,15.0,88.0,17.05,2026-05-16T15:47:46.629485+00:00
performance-s2-listmonk-isoTrue-003-2cfbbb,performance,s2-listmonk,perf-18b8d354,preview-pr-9693,True,test_suite,postgres-migrate,38.0,85.0,,2026-05-16T15:49:37.384118+00:00
performance-s2-listmonk-isoTrue-003-2cfbbb,performance,s2-listmonk,perf-18b8d354,preview-pr-9693,True,test_suite,saving,4.0,85.0,,2026-05-16T15:49:37.384143+00:00
performance-s2-listmonk-isoTrue-003-2cfbbb,performance,s2-listmonk,perf-18b8d354,preview-pr-9693,True,test_suite,smoke,4.0,85.0,,2026-05-16T15:49:37.384148+00:00
performance-s2-listmonk-isoTrue-003-2cfbbb,performance,s2-listmonk,perf-18b8d354,preview-pr-9693,True,test_suite,restore-regression,5.0,85.0,,2026-05-16T15:49:37.384152+00:00
performance-s2-listmonk-isoTrue-003-2cfbbb,performance,s2-listmonk,perf-18b8d354,preview-pr-9693,True,test_suite,regression,,85.0,,2026-05-16T15:49:37.384156+00:00
performance-s2-listmonk-isoTrue-003-2cfbbb,performance,s2-listmonk,perf-18b8d354,preview-pr-9693,True,test_suite,restore-e2e,6.0,85.0,,2026-05-16T15:49:37.384159+00:00
performance-s2-listmonk-isoTrue-003-2cfbbb,performance,s2-listmonk,perf-18b8d354,preview-pr-9693,True,test_suite,e2e,,85.0,,2026-05-16T15:49:37.384162+00:00
performance-s2-listmonk-isoTrue-003-2cfbbb,performance,s2-listmonk,perf-18b8d354,preview-pr-9693,True,test_suite,checkpoint_total,15.0,85.0,17.65,2026-05-16T15:49:37.384166+00:00
performance-s2-listmonk-isoTrue-004-919661,performance,s2-listmonk,perf-e6ec6942,preview-pr-9092,True,test_suite,postgres-migrate,39.0,88.0,,2026-05-16T15:51:28.207346+00:00
performance-s2-listmonk-isoTrue-004-919661,performance,s2-listmonk,perf-e6ec6942,preview-pr-9092,True,test_suite,saving,4.0,88.0,,2026-05-16T15:51:28.207369+00:00
performance-s2-listmonk-isoTrue-004-919661,performance,s2-listmonk,perf-e6ec6942,preview-pr-9092,True,test_suite,smoke,5.0,88.0,,2026-05-16T15:51:28.207374+00:00
performance-s2-listmonk-isoTrue-004-919661,performance,s2-listmonk,perf-e6ec6942,preview-pr-9092,True,test_suite,restore-regression,6.0,88.0,,2026-05-16T15:51:28.207378+00:00
performance-s2-listmonk-isoTrue-004-919661,performance,s2-listmonk,perf-e6ec6942,preview-pr-9092,True,test_suite,regression,,88.0,,2026-05-16T15:51:28.207382+00:00
