run_id,experiment,subject_id,preview_name,namespace,isolation_enabled,phase,step,step_duration_s,total_reconcile_s,requeue_count,timestamp_utc
idempotence-s4-umami-stepsaving-00-cb4df2,idempotence,s4-umami,idem-e20310ce,preview-pr-6873,true,Succeeded,saving,41.52435680499184,12.370782628000597,0,2026-05-17T10:14:30.933035+00:00
idempotence-s4-umami-stepsaving-01-74fb18,idempotence,s4-umami,idem-20fe5f87,preview-pr-6788,true,Succeeded,saving,35.950931412997306,12.575983907008776,0,2026-05-17T10:16:23.588794+00:00
idempotence-s4-umami-stepsaving-02-d5e0ea,idempotence,s4-umami,idem-efea18b5,preview-pr-6344,true,Succeeded,saving,31.118976673998986,11.879086986999027,0,2026-05-17T10:18:11.472099+00:00
idempotence-s4-umami-stepsmoke-00-5dcb7f,idempotence,s4-umami,idem-578c1911,preview-pr-6531,true,Succeeded,smoke,41.676272559998324,12.316662280994933,0,2026-05-17T10:19:51.910049+00:00
idempotence-s4-umami-stepsmoke-01-e5d561,idempotence,s4-umami,idem-15929249,preview-pr-6331,true,Succeeded,smoke,35.42698872099572,12.181691802994465,0,2026-05-17T10:21:46.420289+00:00
idempotence-s4-umami-stepsmoke-02-b567ff,idempotence,s4-umami,idem-a4e17a69,preview-pr-6679,true,Succeeded,smoke,30.519051826006034,11.760377334998338,0,2026-05-17T10:23:32.663627+00:00
idempotence-s4-umami-steprestore-regression-00-13353d,idempotence,s4-umami,idem-93d5c6e4,preview-pr-6499,true,Succeeded,restore-regression,30.29120263000368,11.880415762003395,0,2026-05-17T10:25:15.475165+00:00
idempotence-s4-umami-steprestore-regression-01-d6089d,idempotence,s4-umami,idem-94958504,preview-pr-6215,true,Succeeded,restore-regression,41.27096424100455,11.7841951540031,0,2026-05-17T10:26:52.716183+00:00
idempotence-s4-umami-steprestore-regression-02-e25db7,idempotence,s4-umami,idem-0d858ac3,preview-pr-6068,true,Succeeded,restore-regression,40.971833162009716,12.23545682799886,0,2026-05-17T10:28:44.378069+00:00
idempotence-s4-umami-stepregression-00-f3d1ab,idempotence,s4-umami,idem-41fcbb5c,preview-pr-6837,true,Succeeded,regression,35.68045441500726,11.671676773999934,0,2026-05-17T10:30:36.859843+00:00
idempotence-s4-umami-stepregression-01-8d8ccb,idempotence,s4-umami,idem-8a287208,preview-pr-6860,true,Succeeded,regression,41.20777285100485,11.368822474003537,0,2026-05-17T10:32:21.987511+00:00
idempotence-s4-umami-stepregression-02-14c7b5,idempotence,s4-umami,idem-6c21795c,preview-pr-6872,true,Succeeded,regression,41.28310127698933,12.218617674006964,0,2026-05-17T10:34:14.595243+00:00
idempotence-s4-umami-steprestore-e2e-00-942f6f,idempotence,s4-umami,idem-6cf0699e,preview-pr-6842,true,Succeeded,restore-e2e,36.0555820879963,12.243295595995733,0,2026-05-17T10:36:07.153133+00:00
idempotence-s4-umami-steprestore-e2e-01-0ae172,idempotence,s4-umami,idem-170394f7,preview-pr-6051,true,Succeeded,restore-e2e,41.57330830099818,11.42472844698932,0,2026-05-17T10:37:55.487327+00:00
idempotence-s4-umami-steprestore-e2e-02-39829b,idempotence,s4-umami,idem-19c4ef01,preview-pr-6420,true,Succeeded,restore-e2e,36.33494012198935,12.282781745001557,0,2026-05-17T10:39:43.488952+00:00
idempotence-s4-umami-stepe2e-00-df6d1e,idempotence,s4-umami,idem-6af14d7d,preview-pr-6356,true,Succeeded,e2e,41.2690369799966,13.243431859998964,0,2026-05-17T10:41:28.747480+00:00
idempotence-s4-umami-stepe2e-01-19dfe1,idempotence,s4-umami,idem-6d1dbb3d,preview-pr-6248,true,Succeeded,e2e,36.07706503999361,11.974844091993873,0,2026-05-17T10:43:22.099601+00:00
idempotence-s4-umami-stepe2e-02-e8854b,idempotence,s4-umami,idem-47f16a5d,preview-pr-6046,true,Succeeded,e2e,41.559546531003434,11.657160464004846,0,2026-05-17T10:45:08.697814+00:00
