run_id,experiment,subject_id,preview_name,namespace,isolation_enabled,phase,step,step_duration_s,total_reconcile_s,requeue_count,timestamp_utc
performance-s3-healthchecks-isoTrue-000-6c897f,performance,s3-healthchecks,perf-310006da,preview-pr-9293,True,test_suite,postgres-migrate,40.0,122.0,,2026-05-16T15:43:55.880408+00:00
performance-s3-healthchecks-isoTrue-000-6c897f,performance,s3-healthchecks,perf-310006da,preview-pr-9293,True,test_suite,saving,4.0,122.0,,2026-05-16T15:43:55.880438+00:00
performance-s3-healthchecks-isoTrue-000-6c897f,performance,s3-healthchecks,perf-310006da,preview-pr-9293,True,test_suite,smoke,6.0,122.0,,2026-05-16T15:43:55.880442+00:00
performance-s3-healthchecks-isoTrue-000-6c897f,performance,s3-healthchecks,perf-310006da,preview-pr-9293,True,test_suite,restore-regression,5.0,122.0,,2026-05-16T15:43:55.880444+00:00
performance-s3-healthchecks-isoTrue-000-6c897f,performance,s3-healthchecks,perf-310006da,preview-pr-9293,True,test_suite,regression,5.0,122.0,,2026-05-16T15:43:55.880446+00:00
performance-s3-healthchecks-isoTrue-000-6c897f,performance,s3-healthchecks,perf-310006da,preview-pr-9293,True,test_suite,restore-e2e,7.0,122.0,,2026-05-16T15:43:55.880449+00:00
performance-s3-healthchecks-isoTrue-000-6c897f,performance,s3-healthchecks,perf-310006da,preview-pr-9293,True,test_suite,e2e,11.0,122.0,,2026-05-16T15:43:55.880451+00:00
performance-s3-healthchecks-isoTrue-000-6c897f,performance,s3-healthchecks,perf-310006da,preview-pr-9293,True,test_suite,checkpoint_total,16.0,122.0,13.11,2026-05-16T15:43:55.880453+00:00
performance-s3-healthchecks-isoTrue-001-f33f29,performance,s3-healthchecks,perf-f8882cca,preview-pr-9696,True,test_suite,postgres-migrate,29.0,90.0,,2026-05-16T15:45:42.480683+00:00
performance-s3-healthchecks-isoTrue-001-f33f29,performance,s3-healthchecks,perf-f8882cca,preview-pr-9696,True,test_suite,saving,4.0,90.0,,2026-05-16T15:45:42.480714+00:00
performance-s3-healthchecks-isoTrue-001-f33f29,performance,s3-healthchecks,perf-f8882cca,preview-pr-9696,True,test_suite,smoke,5.0,90.0,,2026-05-16T15:45:42.480720+00:00
performance-s3-healthchecks-isoTrue-001-f33f29,performance,s3-healthchecks,perf-f8882cca,preview-pr-9696,True,test_suite,restore-regression,6.0,90.0,,2026-05-16T15:45:42.480723+00:00
performance-s3-healthchecks-isoTrue-001-f33f29,performance,s3-healthchecks,perf-f8882cca,preview-pr-9696,True,test_suite,regression,4.0,90.0,,2026-05-16T15:45:42.480726+00:00
performance-s3-healthchecks-isoTrue-001-f33f29,performance,s3-healthchecks,perf-f8882cca,preview-pr-9696,True,test_suite,restore-e2e,6.0,90.0,,2026-05-16T15:45:42.480728+00:00
performance-s3-healthchecks-isoTrue-001-f33f29,performance,s3-healthchecks,perf-f8882cca,preview-pr-9696,True,test_suite,e2e,10.0,90.0,,2026-05-16T15:45:42.480731+00:00
performance-s3-healthchecks-isoTrue-001-f33f29,performance,s3-healthchecks,perf-f8882cca,preview-pr-9696,True,test_suite,checkpoint_total,16.0,90.0,17.78,2026-05-16T15:45:42.480734+00:00
performance-s3-healthchecks-isoTrue-002-2805da,performance,s3-healthchecks,perf-01089be6,preview-pr-9292,True,test_suite,postgres-migrate,40.0,98.0,,2026-05-16T15:47:33.921567+00:00
performance-s3-healthchecks-isoTrue-002-2805da,performance,s3-healthchecks,perf-01089be6,preview-pr-9292,True,test_suite,saving,4.0,98.0,,2026-05-16T15:47:33.921586+00:00
performance-s3-healthchecks-isoTrue-002-2805da,performance,s3-healthchecks,perf-01089be6,preview-pr-9292,True,test_suite,smoke,6.0,98.0,,2026-05-16T15:47:33.921590+00:00
performance-s3-healthchecks-isoTrue-002-2805da,performance,s3-healthchecks,perf-01089be6,preview-pr-9292,True,test_suite,restore-regression,6.0,98.0,,2026-05-16T15:47:33.921592+00:00
performance-s3-healthchecks-isoTrue-002-2805da,performance,s3-healthchecks,perf-01089be6,preview-pr-9292,True,test_suite,regression,4.0,98.0,,2026-05-16T15:47:33.921594+00:00
performance-s3-healthchecks-isoTrue-002-2805da,performance,s3-healthchecks,perf-01089be6,preview-pr-9292,True,test_suite,restore-e2e,4.0,98.0,,2026-05-16T15:47:33.921597+00:00
performance-s3-healthchecks-isoTrue-002-2805da,performance,s3-healthchecks,perf-01089be6,preview-pr-9292,True,test_suite,e2e,10.0,98.0,,2026-05-16T15:47:33.921599+00:00
performance-s3-healthchecks-isoTrue-002-2805da,performance,s3-healthchecks,perf-01089be6,preview-pr-9292,True,test_suite,checkpoint_total,14.0,98.0,14.29,2026-05-16T15:47:33.921602+00:00
performance-s3-healthchecks-isoTrue-003-432f97,performance,s3-healthchecks,perf-3c39dd63,preview-pr-9425,True,test_suite,postgres-migrate,32.0,93.0,,2026-05-16T15:49:18.771784+00:00
performance-s3-healthchecks-isoTrue-003-432f97,performance,s3-healthchecks,perf-3c39dd63,preview-pr-9425,True,test_suite,saving,5.0,93.0,,2026-05-16T15:49:18.771806+00:00
performance-s3-healthchecks-isoTrue-003-432f97,performance,s3-healthchecks,perf-3c39dd63,preview-pr-9425,True,test_suite,smoke,4.0,93.0,,2026-05-16T15:49:18.771811+00:00
performance-s3-healthchecks-isoTrue-003-432f97,performance,s3-healthchecks,perf-3c39dd63,preview-pr-9425,True,test_suite,restore-regression,5.0,93.0,,2026-05-16T15:49:18.771814+00:00
performance-s3-healthchecks-isoTrue-003-432f97,performance,s3-healthchecks,perf-3c39dd63,preview-pr-9425,True,test_suite,regression,5.0,93.0,,2026-05-16T15:49:18.772270+00:00
performance-s3-healthchecks-isoTrue-003-432f97,performance,s3-healthchecks,perf-3c39dd63,preview-pr-9425,True,test_suite,restore-e2e,6.0,93.0,,2026-05-16T15:49:18.772278+00:00
performance-s3-healthchecks-isoTrue-003-432f97,performance,s3-healthchecks,perf-3c39dd63,preview-pr-9425,True,test_suite,e2e,13.0,93.0,,2026-05-16T15:49:18.772282+00:00
performance-s3-healthchecks-isoTrue-003-432f97,performance,s3-healthchecks,perf-3c39dd63,preview-pr-9425,True,test_suite,checkpoint_total,16.0,93.0,17.2,2026-05-16T15:49:18.772285+00:00
performance-s3-healthchecks-isoTrue-004-56d929,performance,s3-healthchecks,perf-52b35abe,preview-pr-9696,True,test_suite,postgres-migrate,36.0,96.0,,2026-05-16T15:51:09.096878+00:00
performance-s3-healthchecks-isoTrue-004-56d929,performance,s3-healthchecks,perf-52b35abe,preview-pr-9696,True,test_suite,saving,4.0,96.0,,2026-05-16T15:51:09.096901+00:00
performance-s3-healthchecks-isoTrue-004-56d929,performance,s3-healthchecks,perf-52b35abe,preview-pr-9696,True,test_suite,smoke,4.0,96.0,,2026-05-16T15:51:09.096906+00:00
performance-s3-healthchecks-isoTrue-004-56d929,performance,s3-healthchecks,perf-52b35abe,preview-pr-9696,True,test_suite,restore-regression,6.0,96.0,,2026-05-16T15:51:09.096909+00:00
performance-s3-healthchecks-isoTrue-004-56d929,performance,s3-healthchecks,perf-52b35abe,preview-pr-9696,True,test_suite,regression,5.0,96.0,,2026-05-16T15:51:09.096912+00:00
performance-s3-healthchecks-isoTrue-004-56d929,performance,s3-healthchecks,perf-52b35abe,preview-pr-9696,True,test_suite,restore-e2e,7.0,96.0,,2026-05-16T15:51:09.096915+00:00
performance-s3-healthchecks-isoTrue-004-56d929,performance,s3-healthchecks,perf-52b35abe,preview-pr-9696,True,test_suite,e2e,11.0,96.0,,2026-05-16T15:51:09.096918+00:00
performance-s3-healthchecks-isoTrue-004-56d929,performance,s3-healthchecks,perf-52b35abe,preview-pr-9696,True,test_suite,checkpoint_total,17.0,96.0,17.71,2026-05-16T15:51:09.096922+00:00
performance-s3-healthchecks-isoTrue-005-7b1923,performance,s3-healthchecks,perf-2ec46575,preview-pr-9338,True,test_suite,postgres-migrate,41.0,101.0,,2026-05-16T15:53:08.009609+00:00
performance-s3-healthchecks-isoTrue-005-7b1923,performance,s3-healthchecks,perf-2ec46575,preview-pr-9338,True,test_suite,saving,5.0,101.0,,2026-05-16T15:53:08.009627+00:00
