run_id,experiment,subject_id,preview_name,namespace,isolation_enabled,phase,step,step_duration_s,total_reconcile_s,requeue_count,timestamp_utc
idempotence-s5-petclinic-stepsaving-00-d8a0ef,idempotence,s5-petclinic,idem-98f9dabb,preview-pr-6248,true,Failed,saving,41.45752986200387,12.183266068008379,1,2026-05-17T09:12:10.176636+00:00
idempotence-s5-petclinic-stepsaving-01-68a3f6,idempotence,s5-petclinic,idem-64194555,preview-pr-6069,true,Failed,saving,41.54671615299594,12.276283190993126,1,2026-05-17T09:15:38.159085+00:00
idempotence-s5-petclinic-stepsaving-02-dbbc38,idempotence,s5-petclinic,idem-359e8755,preview-pr-6336,true,Failed,saving,41.513230431010015,11.72374306799611,1,2026-05-17T09:19:08.021640+00:00
idempotence-s5-petclinic-stepsmoke-00-1e8efa,idempotence,s5-petclinic,idem-f8550215,preview-pr-6653,true,Failed,smoke,41.01929456599464,12.221663472999353,1,2026-05-17T09:22:33.719456+00:00
idempotence-s5-petclinic-stepsmoke-01-42622f,idempotence,s5-petclinic,idem-23bf69d3,preview-pr-6570,true,Failed,smoke,41.42849068400392,12.210090538996155,1,2026-05-17T09:26:02.311031+00:00
idempotence-s5-petclinic-stepsmoke-02-a1aaa4,idempotence,s5-petclinic,idem-772169b5,preview-pr-6555,true,Failed,smoke,41.88197187498736,12.603036915999837,1,2026-05-17T09:29:30.970811+00:00
idempotence-s5-petclinic-steprestore-regression-00-cd07a5,idempotence,s5-petclinic,idem-aa7057a4,preview-pr-6848,true,Failed,restore-regression,35.451671360002365,12.173950701006106,1,2026-05-17T09:33:05.782397+00:00
idempotence-s5-petclinic-steprestore-regression-01-30a4ca,idempotence,s5-petclinic,idem-f327a659,preview-pr-6524,true,Failed,restore-regression,41.33769633799966,11.76033673499478,1,2026-05-17T09:36:26.436531+00:00
idempotence-s5-petclinic-steprestore-regression-02-d35a8e,idempotence,s5-petclinic,idem-d8e5a7df,preview-pr-6868,true,Failed,restore-regression,35.76426236500265,11.726125002998742,1,2026-05-17T09:39:54.559284+00:00
idempotence-s5-petclinic-stepregression-00-b177d3,idempotence,s5-petclinic,idem-5a1ad786,preview-pr-6766,true,Failed,regression,34.896344886001316,11.801265214002342,1,2026-05-17T09:43:18.100438+00:00
idempotence-s5-petclinic-stepregression-01-5ac328,idempotence,s5-petclinic,idem-d1d9fa20,preview-pr-6446,true,Failed,regression,34.76377856799809,12.003036016001715,1,2026-05-17T09:46:43.412318+00:00
idempotence-s5-petclinic-stepregression-02-25a0fe,idempotence,s5-petclinic,idem-fec9367b,preview-pr-6824,true,Failed,regression,35.57911711400084,11.78916968300473,1,2026-05-17T09:50:05.750781+00:00
idempotence-s5-petclinic-steprestore-e2e-00-e79b25,idempotence,s5-petclinic,idem-2018547d,preview-pr-6711,true,Failed,restore-e2e,41.34574700500525,11.5964353060117,1,2026-05-17T09:53:27.512378+00:00
idempotence-s5-petclinic-steprestore-e2e-01-9b5792,idempotence,s5-petclinic,idem-e6b6f83f,preview-pr-6722,true,Failed,restore-e2e,30.23498061900318,12.19185182399815,1,2026-05-17T09:56:58.060571+00:00
idempotence-s5-petclinic-steprestore-e2e-02-e20eb0,idempotence,s5-petclinic,idem-57e0db42,preview-pr-6690,true,Failed,restore-e2e,35.93758658900333,11.646433355999761,1,2026-05-17T10:00:17.258878+00:00
idempotence-s5-petclinic-stepe2e-00-87443e,idempotence,s5-petclinic,idem-c3a472d6,preview-pr-6834,true,Failed,e2e,35.946973857993726,11.782625323001412,1,2026-05-17T10:03:41.161864+00:00
idempotence-s5-petclinic-stepe2e-01-c00707,idempotence,s5-petclinic,idem-3b357785,preview-pr-6180,true,Failed,e2e,36.862263336995966,13.291865585997584,1,2026-05-17T10:07:07.438425+00:00
idempotence-s5-petclinic-stepe2e-02-32c132,idempotence,s5-petclinic,idem-861f5780,preview-pr-6456,true,Failed,e2e,30.33958056800475,12.027051987999585,1,2026-05-17T10:10:33.576800+00:00
