run_id,experiment,subject_id,preview_name,namespace,isolation_enabled,phase,step,step_duration_s,total_reconcile_s,requeue_count,timestamp_utc
performance-s5-petclinic-isoTrue-000-3f932e,performance,s5-petclinic,perf-db1fd1ec,preview-pr-9406,True,test_suite,postgres-migrate,89.0,170.0,,2026-05-16T19:55:27.843218+00:00
performance-s5-petclinic-isoTrue-000-3f932e,performance,s5-petclinic,perf-db1fd1ec,preview-pr-9406,True,test_suite,saving,3.0,170.0,,2026-05-16T19:55:27.843248+00:00
performance-s5-petclinic-isoTrue-000-3f932e,performance,s5-petclinic,perf-db1fd1ec,preview-pr-9406,True,test_suite,smoke,5.0,170.0,,2026-05-16T19:55:27.843251+00:00
performance-s5-petclinic-isoTrue-000-3f932e,performance,s5-petclinic,perf-db1fd1ec,preview-pr-9406,True,test_suite,restore-regression,5.0,170.0,,2026-05-16T19:55:27.843254+00:00
performance-s5-petclinic-isoTrue-000-3f932e,performance,s5-petclinic,perf-db1fd1ec,preview-pr-9406,True,test_suite,regression,,170.0,,2026-05-16T19:55:27.843256+00:00
performance-s5-petclinic-isoTrue-000-3f932e,performance,s5-petclinic,perf-db1fd1ec,preview-pr-9406,True,test_suite,restore-e2e,5.0,170.0,,2026-05-16T19:55:27.843258+00:00
performance-s5-petclinic-isoTrue-000-3f932e,performance,s5-petclinic,perf-db1fd1ec,preview-pr-9406,True,test_suite,e2e,,170.0,,2026-05-16T19:55:27.843261+00:00
performance-s5-petclinic-isoTrue-000-3f932e,performance,s5-petclinic,perf-db1fd1ec,preview-pr-9406,True,test_suite,checkpoint_total,13.0,170.0,7.65,2026-05-16T19:55:27.843263+00:00
performance-s5-petclinic-isoTrue-001-26b0fd,performance,s5-petclinic,perf-9193d0f2,preview-pr-9714,True,test_suite,postgres-migrate,85.0,195.0,,2026-05-16T19:59:09.701573+00:00
performance-s5-petclinic-isoTrue-001-26b0fd,performance,s5-petclinic,perf-9193d0f2,preview-pr-9714,True,test_suite,saving,4.0,195.0,,2026-05-16T19:59:09.701655+00:00
performance-s5-petclinic-isoTrue-001-26b0fd,performance,s5-petclinic,perf-9193d0f2,preview-pr-9714,True,test_suite,smoke,6.0,195.0,,2026-05-16T19:59:09.701659+00:00
performance-s5-petclinic-isoTrue-001-26b0fd,performance,s5-petclinic,perf-9193d0f2,preview-pr-9714,True,test_suite,restore-regression,6.0,195.0,,2026-05-16T19:59:09.701662+00:00
performance-s5-petclinic-isoTrue-001-26b0fd,performance,s5-petclinic,perf-9193d0f2,preview-pr-9714,True,test_suite,regression,,195.0,,2026-05-16T19:59:09.701664+00:00
performance-s5-petclinic-isoTrue-001-26b0fd,performance,s5-petclinic,perf-9193d0f2,preview-pr-9714,True,test_suite,restore-e2e,5.0,195.0,,2026-05-16T19:59:09.701666+00:00
performance-s5-petclinic-isoTrue-001-26b0fd,performance,s5-petclinic,perf-9193d0f2,preview-pr-9714,True,test_suite,e2e,,195.0,,2026-05-16T19:59:09.701669+00:00
performance-s5-petclinic-isoTrue-001-26b0fd,performance,s5-petclinic,perf-9193d0f2,preview-pr-9714,True,test_suite,checkpoint_total,15.0,195.0,7.69,2026-05-16T19:59:09.701673+00:00
performance-s5-petclinic-isoTrue-002-efe68f,performance,s5-petclinic,perf-8ffbb547,preview-pr-9887,True,test_suite,postgres-migrate,83.0,186.0,,2026-05-16T20:02:45.040406+00:00
performance-s5-petclinic-isoTrue-002-efe68f,performance,s5-petclinic,perf-8ffbb547,preview-pr-9887,True,test_suite,saving,4.0,186.0,,2026-05-16T20:02:45.040452+00:00
performance-s5-petclinic-isoTrue-002-efe68f,performance,s5-petclinic,perf-8ffbb547,preview-pr-9887,True,test_suite,smoke,5.0,186.0,,2026-05-16T20:02:45.040457+00:00
performance-s5-petclinic-isoTrue-002-efe68f,performance,s5-petclinic,perf-8ffbb547,preview-pr-9887,True,test_suite,restore-regression,5.0,186.0,,2026-05-16T20:02:45.040459+00:00
performance-s5-petclinic-isoTrue-002-efe68f,performance,s5-petclinic,perf-8ffbb547,preview-pr-9887,True,test_suite,regression,,186.0,,2026-05-16T20:02:45.040462+00:00
performance-s5-petclinic-isoTrue-002-efe68f,performance,s5-petclinic,perf-8ffbb547,preview-pr-9887,True,test_suite,restore-e2e,4.0,186.0,,2026-05-16T20:02:45.040464+00:00
performance-s5-petclinic-isoTrue-002-efe68f,performance,s5-petclinic,perf-8ffbb547,preview-pr-9887,True,test_suite,e2e,,186.0,,2026-05-16T20:02:45.040466+00:00
